reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
55405e67-3a24-4c6d-9bce-714f6b2c5fd5,candra yulianto,https://play-lh.googleusercontent.com/a-/ALV-UjXFCIJ9EjGKDdbQFsHWTqF9VDzTQYnm8ZY_S78fXflb_Fs_qbeg,Nice,5,0,4.7,2025-09-13 09:16:32,,,4.7
282cb0a2-449e-43c0-b91e-aa57821786a5,Vikrant Minhas,https://play-lh.googleusercontent.com/a-/ALV-UjXIpriRgBVyEiaZHhPmIFvd80NYr9DJZSFQhUziRh62vK3NW6o,I cannot enter the existing booking in the app. Cannot create an account.,1,0,4.7,2025-08-28 02:15:16,,,4.7
863f6723-077c-4186-94f7-5f7e80bd2b81,alizan aziz,https://play-lh.googleusercontent.com/a-/ALV-UjWd26QQO-cydwHdUHK-ersqar774WXPX20XWNuykE5vdpA_svY4,so poor app,1,0,4.7,2025-08-26 04:10:02,,,4.7
176e22eb-3b93-49ae-97e6-ed57b3a55bca,Devinder Singh,https://play-lh.googleusercontent.com/a-/ALV-UjXlRDMOoT-kBoxYR7uHIjch-QEKaxVo6gIr0D4VSd0GwYgPxHVy,I have book flight why crate paravlom,5,0,4.7,2025-08-18 13:25:45,,,4.7
963d0cdd-3914-4a06-9ca4-cd7d3b5af711,Ilse van Ewijk,https://play-lh.googleusercontent.com/a-/ALV-UjUw7eNtQHdn5Q1lLG6Z-OPlVumFy6k2HYokhJwHYhE6PThwufY,Impossible to book flights through the app or even the website. Everything goes in an infinite loop from the start. No info gets pulled up. How are you even filling planes?!,1,2,4.7,2025-08-02 06:41:12,,,4.7
50bcd2a2-0dde-4076-afe4-89b048548842,Shine HU,https://play-lh.googleusercontent.com/a-/ALV-UjWsHsfGyBvhPay54aXF-ODBdzs1nZyJn8JHzKmJJTsVe7SsMUI,I don't want to give it one star. I can't check the air tickets at all.,1,0,4.7,2025-07-18 07:32:14,,,4.7
6ccd7dea-6d49-4843-acbe-df349694b4ae,ron perks,https://play-lh.googleusercontent.com/a-/ALV-UjVud8pkPmfJoILaj1PIPGD3htr5-4WRczrKvei_Mzg2jbyuoxy2,I have been flying with lion for many years now i like very much. thank you 😊,4,0,4.7,2025-06-30 00:49:30,,,4.7
3b0498ac-aa76-4d3d-8226-c5a26072c4f6,Alan Pires,https://play-lh.googleusercontent.com/a/ACg8ocJMhEvphLqGa14rIy2Np3gCWkfi6RL4IWGcZTuVlH0P-xenvQ=mo,cannot add bookings,1,0,4.7,2025-06-21 16:33:13,,,4.7
1b4534ad-d81c-4a0f-87c3-920b389ebd97,Nursiah Usman,https://play-lh.googleusercontent.com/a-/ALV-UjVSABuHOEM_ieY5l_SUjyNbF30KnBTi3WOBNFtvG3iC2VpySLQ,bukan lion air klau ngk delayyyy,1,0,,2025-06-21 07:50:19,,,
4f9d56da-9daf-4753-82e1-234c3b91bad0,Bona Simamora,https://play-lh.googleusercontent.com/a-/ALV-UjVqusJn3eSXo8ko9B9dgg_0ZonmNALc1Ojm0FGd8-x4NgQucFu7,Saya sangat kecewa dengan penerbangan saya. Jadwal penerbangan saya diganti secara sepihak oleh maskapai padahal saya sedang butuh cepat. Sungguh tidak profesional,1,0,4.7,2025-06-07 02:41:49,,,4.7
d9939508-5fad-4d68-b451-d635afa51ef0,Fakhri H,https://play-lh.googleusercontent.com/a-/ALV-UjWPlrnYOWRsCq_bmEeaDrEyeRsVd593qqs689xfEB1t29sCqJlU,stupid app no use for evwrythiny,1,0,4.6,2025-05-17 03:51:28,,,4.6
b417dc2d-03f6-4060-a6b0-0e5377843fec,steve,https://play-lh.googleusercontent.com/a/ACg8ocIyCO8QQr_Cw4o6tugyOnquI6E91nqNphBSxG3PJvK0og987w=mo,hopeless,1,0,4.6,2025-05-15 09:50:48,,,4.6
a8830bf7-7672-4bd6-b8fc-85701a28e555,Graham The Nomad,https://play-lh.googleusercontent.com/a/ACg8ocLiyYvKMh4_Hfv7oR2vh_GZDwGcOGNZQPbyxckghElvBPjtlg=mo,"Useless App...The Lion Air Group....Batik Air App is useless, this App is useless (can't even add a booked trip) and they direct you to the Book Cabin App for check in..... which is also useless. Need I say more 🤔",1,1,4.6,2025-05-06 10:41:09,,,4.6
59c7f194-7078-4b82-9a52-6cea63bf4d27,Angelbert Cordova,https://play-lh.googleusercontent.com/a-/ALV-UjXYjISUqJQPOCFId5ucaEvYfgE86gb85EmL7fQBMOWAB-JEgDRx,"This app will make you crazy. JUST USE BOOKCABIN apps (for Lion Air & Super Air Jet). BOOKCABIN works and its fast! ............................................... 22/02/2020 Your app sucks! You don't make people fly, you make people have a headache!... useless app, cannot add a baggage and cannot manage your booking...",1,24,4.3,2025-05-03 19:02:00,,,4.3
